name,scenario,repetition,NumberofVehicles,Type,NodeID,TR,recAddress,x,y,MsgId,CH,Reroute,Speed,Hops,SumoDistance,MsgTime,DistanceToAccident,Delay
"BCN,150-,1",BCN,1,150,node,59,rx,-1,994.273,993.382,35157137,176,0,8,3,583.361,15.9545,164.70242843686304,2.8835999999999995
"BCN,100-,0",BCN,0,100,node,21,rx,-1,1416.27,668.863,9015077,176,0,12,4,1219.21,19.5544,610.241457038933,6.8954
"BCN,200-,2",BCN,2,200,node,183,rx,-1,1261.09,698.4,93795832,176,0,0,3,1004.44,15.5543,501.59953309388146,2.7943
"BCN,100-,2",BCN,2,100,node,97,rx,-1,1304.26,1320.12,20762704,176,1,7,6,659.89,21.4727,313.10238022091113,8.5197
"BCN,150-,0",BCN,0,150,node,34,rx,-1,995.172,1500.36,25079893,176,0,12,3,573.253,16.9544,353.3409006384626,3.965299999999999
"BCN,100-,0",BCN,0,100,node,69,rx,-1,1391.03,774.056,9015077,176,1,10,4,1370.21,19.5544,513.6462205409479,6.8954
"BCN,200-,1",BCN,1,200,node,108,rx,-1,787.442,1358.25,77189829,176,1,4,3,353.436,14.2961,328.43441071848724,2.0139999999999993
"BCN,150-,1",BCN,1,150,node,90,rx,-1,1301.77,1317.45,35157137,176,1,4,3,665.175,15.9545,309.20120520463695,2.8835999999999995
"BCN,200-,2",BCN,2,200,node,48,rx,-1,1198.34,629.6419999999999,93795832,176,0,5,3,1099.51,15.5543,543.061681601639,2.7943
"BCN,150-,2",BCN,2,150,node,44,rx,-1,899.095,1287.82,47312870,176,0,8,2,194.149,14.8543,193.625187733931,2.6861999999999995
"BCN,200-,0",BCN,0,200,node,7,rx,-1,1010.79,1010.18,56245784,176,0,10,3,561.585,15.2792,143.3451478076604,2.8264999999999993
"BCN,100-,2",BCN,2,100,node,24,tx,-1,258.51099999999997,999.2410000000001,20762704,176,1,10,1,1094.93,22.1565,796.2006290640569,9.203500000000002
"BCN,200-,1",BCN,1,200,node,75,rx,-1,732.5310000000001,1300.32,77189829,176,0,6,3,433.56199999999995,14.2961,343.6697651830895,2.0139999999999993
"BCN,100-,0",BCN,0,100,node,64,rx,-1,1705.58,959.811,9015077,176,1,10,4,1047.53,19.5544,690.7497865804954,6.8954
"BCN,200-,2",BCN,2,200,node,17,rx,-1,971.722,1500.08,93795832,176,0,8,4,597.164,15.5546,357.2984162069572,2.794600000000001
"BCN,200-,0",BCN,0,200,node,58,rx,-1,989.9,988.939,56245784,176,0,6,3,591.479,15.2792,169.39250467774542,2.8264999999999993
"BCN,150-,2",BCN,2,150,node,135,rx,-1,895.22,1296.19,47312870,176,1,0,2,202.858,14.8543,202.24759578299086,2.6861999999999995
"BCN,150-,0",BCN,0,150,node,18,rx,-1,788.791,1359.67,25079893,176,1,3,3,351.967,16.9544,328.7862914128264,3.965299999999999
"BCN,150-,1",BCN,1,150,node,68,rx,-1,1327.99,1345.62,35157137,176,1,10,3,626.691,15.9545,346.58547286347704,2.8835999999999995
"BCN,200-,2",BCN,2,200,node,157,rx,-1,1009.85,1486.56,93795832,176,0,5,4,731.673,15.5546,338.27837589772133,2.794600000000001
"BCN,200-,1",BCN,1,200,node,157,rx,-1,718.2769999999999,1285.2,77189829,176,0,1,3,454.341,14.2961,350.46817246220803,2.0139999999999993
"BCN,200-,0",BCN,0,200,node,119,rx,-1,982.0089999999999,974.74,56245784,176,0,2,3,610.2869999999999,15.2792,185.36289397017944,2.8264999999999993
"BCN,150-,2",BCN,2,150,node,34,rx,-1,926.815,1306.72,47312870,176,1,10,2,664.5210000000001,14.8543,189.61006335371562,2.6861999999999995
"BCN,150-,0",BCN,0,150,node,49,rx,-1,742.421,1310.81,25079893,176,0,7,3,419.64,16.9544,340.09392905637105,3.965299999999999
"BCN,100-,0",BCN,0,100,node,53,tx,-1,1342.05,398.149,9015077,176,0,12,1,1437.6,19.6225,810.2047710060712,6.963499999999998
"BCN,150-,1",BCN,1,150,node,12,tx,-1,823.743,1392.79,35157137,176,1,10,1,339.29400000000004,16.0059,324.8138234573769,2.9350000000000005
"BCN,100-,2",BCN,2,100,node,48,rx,-1,416.05300000000005,1174.34,20762704,176,0,11,6,1181.65,22.1568,624.1606204567858,9.203800000000001
"BCN,200-,0",BCN,0,200,node,9,tx,-1,809.326,1375.09,56245784,176,1,6,1,324.615,15.3738,323.9699532302339,2.921099999999999
"BCN,100-,0",BCN,0,100,node,9,rx,-1,1352.58,425.33,9015077,176,0,9,6,1421.0,19.6545,789.1135830157787,6.995499999999998
"BCN,100-,2",BCN,2,100,node,14,rx,-1,469.94199999999995,1247.21,20762704,176,0,8,6,1076.99,22.1568,577.7109095767536,9.203800000000001
