name,scenario,repetition,NumberofVehicles,Type,NodeID,TR,recAddress,x,y,MsgId,CH,Reroute,Speed,Hops,SumoDistance,MsgTime,DistanceToAccident,Delay
"BCN,150-,1",BCN,1,150,node,122,rx,-1,1084.22,871.041,35157137,176,0,3,3,754.184,16.0561,283.59328401956196,2.9852000000000007
"BCN,200-,0",BCN,0,200,node,153,rx,-1,883.312,1303.17,56245784,176,0,7,2,221.41,15.374,220.78924426701587,2.9213000000000005
"BCN,200-,0",BCN,0,200,node,102,rx,-1,883.927,1458.65,56245784,176,0,11,2,647.64,15.374,346.9197719487894,2.9213000000000005
"BCN,150-,0",BCN,0,150,node,34,rx,-1,1006.1,1500.32,25079893,176,0,10,4,562.314,17.1545,352.0139088161147,4.165399999999998
"BCN,100-,0",BCN,0,100,node,94,rx,-1,815.457,951.336,9015077,176,1,9,4,832.7860000000001,19.7923,301.51039525197143,7.1333
"BCN,100-,2",BCN,2,100,node,13,rx,-1,1459.34,1476.95,20762704,176,0,0,8,673.3539999999999,23.1546,530.3606322117055,10.2016
"BCN,200-,1",BCN,1,200,node,65,rx,-1,808.232,1348.34,77189829,176,0,10,2,867.345,14.3664,306.11229067778373,2.0843000000000007
"BCN,200-,2",BCN,2,200,node,2,rx,-1,821.0889999999999,1504.1,93795832,176,0,12,4,747.7239999999999,15.7545,417.73721452726716,2.9945000000000004
"BCN,150-,2",BCN,2,150,node,129,rx,-1,1067.62,1072.65,47312870,176,0,0,2,471.949,14.8543,85.98373799736761,2.6861999999999995
"BCN,150-,1",BCN,1,150,node,89,rx,-1,1039.13,848.0210000000001,35157137,176,0,7,3,1219.11,16.0561,303.3047032292772,2.9852000000000007
"BCN,150-,2",BCN,2,150,node,29,rx,-1,1075.28,1075.75,47312870,176,0,0,2,464.406,14.8543,86.04187352678913,2.6861999999999995
"BCN,100-,0",BCN,0,100,node,3,rx,-1,970.0089999999999,800.513,9015077,176,0,8,4,1155.27,19.7923,357.3834734427434,7.1333
